2018-08-11 20:28:42,821 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:DESKTOP-9EPRQCJ-61291-1533990522698-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 20:28:42,875 | INFO  | Listening for connections at: tcp://DESKTOP-9EPRQCJ:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 20:28:42,876 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:28:42,882 | INFO  | Listening for connections at: amqp://DESKTOP-9EPRQCJ:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 20:28:42,882 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:28:42,888 | INFO  | Listening for connections at: stomp://DESKTOP-9EPRQCJ:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 20:28:42,889 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:28:42,894 | INFO  | Listening for connections at: mqtt://DESKTOP-9EPRQCJ:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2018-08-11 20:28:42,894 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:28:43,029 | INFO  | Listening for connections at ws://DESKTOP-9EPRQCJ:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2018-08-11 20:28:43,029 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2018-08-11 20:28:43,030 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:DESKTOP-9EPRQCJ-61291-1533990522698-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 20:28:43,031 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 20:28:43,033 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: C:\Users\25772\Desktop\Learning Notes\LearningNotes\LearningNotes\activemq\apache-activemq-5.11.1-bin\apache-activemq-5.11.1\bin\win64\..\..\data\kahadb only has 7930 mb of usable space - resetting to maximum available disk space: 7930 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 20:28:43,034 | WARN  | Temporary Store limit is 51200 mb, whilst the temporary data directory: C:\Users\25772\Desktop\Learning Notes\LearningNotes\LearningNotes\activemq\apache-activemq-5.11.1-bin\apache-activemq-5.11.1\bin\win64\..\..\data\localhost\tmp_storage only has 7930 mb of usable space - resetting to maximum available 7930 mb. | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 20:28:43,397 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2018-08-11 20:28:43,461 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2018-08-11 20:28:43,855 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2018-08-11 20:30:02,395 | WARN  | Transport Connection to: tcp://127.0.0.1:61313 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61313@61616
2018-08-11 20:30:03,941 | WARN  | Transport Connection to: tcp://127.0.0.1:61325 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61325@61616
2018-08-11 20:30:49,104 | WARN  | Transport Connection to: tcp://127.0.0.1:61458 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61458@61616
2018-08-11 20:30:51,264 | WARN  | Transport Connection to: tcp://127.0.0.1:61464 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61464@61616
